Nâng cấp bắt đầu: 12:01:16_26-10-2025
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitSerif.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitSerifBold.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitSerifBoldItalic.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitSerifItalic.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitSymbol.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/LICENSE_FOXIT | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/LICENSE_LIBERATION | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/LiberationSans-Bold.ttf | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/LiberationSans-BoldItalic.ttf | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/LiberationSans-Italic.ttf | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/LiberationSans-Regular.ttf | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/viewer.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/viewer.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/viewer.tpl | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/plyr/index.html | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/plyr/plyr.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/plyr/plyr.polyfilled.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/plyr/plyr.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/site.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/stickytableheaders/index.html | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/stickytableheaders/jquery.stickytableheaders.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/upload.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/tpl/rss.tpl | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file composer.json | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file data/certs/cacert.pem | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file error.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/action_mysql.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/api/ClearCache.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/constants.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/admin_access.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/admin_functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/admin_login.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/admin_login_zalo.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/admin_logout.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/captcha.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/cronjobs.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/filesystem_functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/flood_blocker.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/is_admin.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/is_user.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/rpc.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/stat.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/statimg.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/theme_functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/core/user_functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/countries.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/cronjobs/dump_autobackup.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/cronjobs/notification_autodel.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/footer.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/ini/mime.ini | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/ini.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/admin_database.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/admin_extensions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/admin_upload.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/admin_zalo.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/global.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/en/install.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/admin_authors.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/admin_database.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/admin_extensions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/admin_global.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/admin_upload.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/admin_zalo.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/global.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/fr/install.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/admin_database.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/admin_extensions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/admin_global.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/admin_upload.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/admin_zalo.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/global.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/language/vi/install.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/mainfile.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/plugin/cdn_js_css_image.ini | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/plugin/china_censorship.ini | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/plugin/mysql_master_slave.ini | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/plugin/qrcode.ini | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file includes/plugin/qrcode.php | SUCCESS
